image_id,vehicle_type,x1,y1,x2,y2,cropped_image_path
2376,car,428,42,453,54,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002376_0.jpg
2564,articulated_truck,486,121,715,217,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002564_0.jpg
1403,car,97,93,198,146,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001403_0.jpg
3250,car,248,65,265,78,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003250_0.jpg
2803,motorized_vehicle,693,140,713,186,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002803_0.jpg
2442,car,204,46,351,117,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002442_0.jpg
2355,car,468,158,522,198,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002355_0.jpg
2650,car,675,93,711,117,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002650_0.jpg
2165,car,323,105,342,126,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002165_0.jpg
1139,car,504,65,541,90,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001139_0.jpg
3746,car,610,131,643,158,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003746_0.jpg
2852,car,642,167,670,181,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002852_0.jpg
2113,car,608,181,650,226,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002113_0.jpg
651,car,251,49,390,110,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000651_0.jpg
1533,car,468,224,574,282,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001533_0.jpg
1869,pickup_truck,213,36,256,52,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001869_0.jpg
2931,pickup_truck,126,254,272,351,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002931_0.jpg
1700,car,72,113,150,183,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001700_0.jpg
487,car,71,30,93,42,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000487_0.jpg
3267,work_van,84,0,151,25,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003267_0.jpg
3549,car,365,265,643,478,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003549_0.jpg
414,car,104,1,144,23,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000414_0.jpg
3028,car,247,64,282,101,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003028_0.jpg
2455,pickup_truck,487,113,579,177,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002455_0.jpg
2057,pedestrian,333,72,369,140,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002057_0.jpg
2359,pedestrian,412,99,425,138,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002359_0.jpg
3458,pickup_truck,531,105,612,154,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003458_0.jpg
422,car,199,84,292,127,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000422_0.jpg
1635,car,55,129,67,142,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001635_0.jpg
1039,motorized_vehicle,606,47,633,59,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001039_0.jpg
252,work_van,436,102,460,124,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000252_0.jpg
2932,motorized_vehicle,372,13,415,36,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002932_0.jpg
638,car,227,307,499,478,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000638_0.jpg
3829,bus,254,88,452,147,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003829_0.jpg
850,car,147,321,350,477,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000850_0.jpg
1472,motorized_vehicle,1,86,12,108,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001472_0.jpg
963,car,270,183,433,321,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000963_0.jpg
3960,car,488,206,715,333,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003960_1.jpg
2689,car,390,24,426,46,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002689_0.jpg
3099,pickup_truck,492,126,534,144,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003099_0.jpg
1657,car,155,27,181,36,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001657_0.jpg
2441,car,375,35,409,55,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002441_0.jpg
1140,car,511,144,548,166,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001140_0.jpg
522,motorized_vehicle,510,75,538,98,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000522_0.jpg
2689,car,336,35,380,58,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002689_1.jpg
18,car,72,76,205,159,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000018_0.jpg
1155,car,167,144,212,178,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001155_0.jpg
459,pickup_truck,609,210,713,355,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000459_0.jpg
1692,motorized_vehicle,1,431,75,478,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001692_0.jpg
1589,pickup_truck,462,120,506,143,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001589_0.jpg
660,car,74,193,108,211,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000660_0.jpg
2460,car,463,47,496,69,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002460_0.jpg
3376,work_van,460,140,639,238,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003376_0.jpg
586,car,45,50,124,86,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000586_0.jpg
1066,car,200,50,233,65,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001066_0.jpg
3752,car,210,262,474,479,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003752_0.jpg
1184,car,594,232,662,315,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001184_0.jpg
1401,car,383,197,459,237,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001401_0.jpg
1516,car,214,13,227,28,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001516_0.jpg
3459,car,91,52,134,72,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003459_0.jpg
2813,pickup_truck,127,43,239,95,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002813_0.jpg
722,car,76,41,102,56,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000722_0.jpg
2307,articulated_truck,610,92,707,123,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002307_0.jpg
3527,car,136,41,235,95,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003527_0.jpg
3925,pickup_truck,27,48,80,77,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003925_0.jpg
3126,car,578,161,633,188,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003126_0.jpg
2727,car,89,164,293,252,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002727_0.jpg
2241,car,510,144,545,173,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002241_0.jpg
207,pedestrian,184,201,195,222,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000207_0.jpg
932,car,666,19,706,47,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000932_0.jpg
3289,motorized_vehicle,656,441,718,479,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003289_0.jpg
2962,car,236,94,270,123,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002962_0.jpg
324,car,206,93,287,127,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000324_0.jpg
1906,car,526,96,547,109,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001906_0.jpg
760,car,612,135,641,158,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000760_0.jpg
1797,car,147,126,237,187,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001797_0.jpg
522,car,501,107,530,129,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000522_1.jpg
1064,pickup_truck,54,63,115,91,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001064_0.jpg
479,car,504,222,598,281,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000479_0.jpg
144,non-motorized_vehicle,0,336,131,479,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000144_0.jpg
230,car,128,24,153,31,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000230_0.jpg
73,car,236,11,312,56,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000073_0.jpg
2614,motorized_vehicle,318,194,338,227,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002614_0.jpg
2986,car,206,77,288,114,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002986_0.jpg
1942,pickup_truck,206,26,240,36,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001942_0.jpg
198,pickup_truck,0,233,245,420,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000198_0.jpg
3406,car,48,101,67,123,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003406_0.jpg
2886,car,604,83,639,112,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002886_0.jpg
694,car,362,19,393,40,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000694_0.jpg
693,car,284,165,337,217,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000693_0.jpg
3979,car,72,77,100,107,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003979_0.jpg
1111,car,12,60,81,97,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001111_0.jpg
3204,work_van,68,155,107,175,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003204_0.jpg
1995,car,244,276,455,465,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001995_0.jpg
2922,bus,0,173,547,477,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002922_0.jpg
3248,car,668,290,714,371,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003248_0.jpg
137,pickup_truck,123,26,158,36,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000137_0.jpg
1493,car,620,201,715,362,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001493_0.jpg
1858,non-motorized_vehicle,1,70,196,175,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001858_0.jpg
113,car,306,142,360,174,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000113_0.jpg
3051,car,4,126,87,172,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003051_0.jpg
141,car,342,228,478,328,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000141_0.jpg
3899,car,509,61,565,82,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003899_0.jpg
3559,articulated_truck,246,23,338,55,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003559_0.jpg
78,car,366,232,497,327,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000078_0.jpg
842,pickup_truck,117,40,166,61,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000842_0.jpg
1753,pedestrian,595,159,601,178,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001753_0.jpg
75,pickup_truck,498,144,564,186,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000075_0.jpg
3865,car,109,24,128,32,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003865_0.jpg
3604,car,507,150,695,285,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003604_0.jpg
2683,articulated_truck,118,87,200,170,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002683_0.jpg
2022,car,532,151,568,174,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002022_0.jpg
1943,car,204,84,241,106,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001943_0.jpg
1497,car,349,119,381,148,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00001497_0.jpg
315,car,199,95,272,126,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000315_0.jpg
2391,car,16,57,84,88,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002391_0.jpg
2839,articulated_truck,599,30,718,119,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00002839_0.jpg
3639,car,607,87,639,113,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00003639_0.jpg
545,motorized_vehicle,23,130,57,165,/content/drive/MyDrive/Colab Notebooks/Capstone 1/Part 1/Cropped_Train/00000545_0.jpg
